Rank,Name,Country,Sector,Absolute Growth Rate,Compound Annual Growth Rate,Revenue 2017,Employees 2017,Founded,Revenue 2018,Revenue 2015,Employees 2018,Revenue 2019,Revenue 2016,Employees 2019,Employees 2016,Revenue 2020,Employees 2020,Revenue 2021,Employees 2021,Revenue 2022,Employees 2022,Year
889,Marlin Green,United Kingdom,Support Services,185%,41.8%,26.7,32,2010,,,,,,,,,,,,,,2019
890,Cap Adresse,France,Technology,185%,41.8%,3.1,19,2007,,,,,,,,,,,,,,2019
891,Kögel & Nunne Bau,Germany,Construction,184%,41.6%,45.5,25,2012,,,,,,,,,,,,,,2019
892,Cloud Media Service,Norway,Media,184%,41.6%,2.0,22,2011,,,,,,,,,,,,,,2019
893,Si-Tecno,Finland,Technology,184%,41.6%,1.9,11,1987,,,,,,,,,,,,,,2019
894,Prosino,Germany,Support Services,184%,41.5%,3.1,1,2009,,,,,,,,,,,,,,2019
895,O.K. Energie Haus,Austria,Construction,184%,41.5%,4.9,32,2004,,,,,,,,,,,,,,2019
896,Red Badger Consulting,United Kingdom,Technology,184%,41.5%,11.1,92,2010,,,,,,,,,,,,,,2019
897,Groupe Builders And Partners,France,Property,183%,41.5%,16.2,117,2010,,,,,,,,,,,,,,2019
898,Impresa Percassi,Italy,Construction,183%,41.5%,60.9,55,1963,,,,,,,,,,,,,,2019
899,Miramar Cruises,Spain,Travel & Leisure,183%,41.4%,5.2,13,2012,,,,,,,,,,,,,,2019
900,Alterfood,France,Agricultural Commodities,183%,41.4%,6.9,23,2009,,,,,,,,,,,,,,2019
901,Greendonkey,Germany,Ecommerce,182%,41.3%,3.0,11,2011,,,,,,,,,,,,,,2019
902,B&B Eventtechnik,Germany,Support Services,182%,41.3%,5.6,39,2005,,,,,,,,,,,,,,2019
903,Cargo Truck Direct (CTD),Germany,Transport,182%,41.3%,7.9,26,2010,,,,,,,,,,,,,,2019
904,Enertime,France,Industrial Goods,182%,41.3%,4.2,41,2008,,,,,,,,,,,,,,2019
905,Kerl & Cie,Germany,Sales & Marketing,182%,41.3%,2.9,10,2011,,,,,,,,,,,,,,2019
906,Csp S.r.l.,Italy,Technology,182%,41.2%,2.8,20,2002,,,,,,,,,,,,,,2019
907,Golden Peanut,Germany,Ecommerce,182%,41.2%,3.4,15,2009,,,,,,,,,,,,,,2019
908,Smart Organic,Bulgaria,Food & Beverage,182%,41.2%,12.3,147,2009,,,,,,,,,,,,,,2019
909,Endosmart,Germany,Health,181%,41.2%,5.9,60,2012,,,,,,,,,,,,,,2019
910,50NRTH,Germany,Personal & Household Goods,181%,41.2%,10.6,14,2004,,,,,,,,,,,,,,2019
911,Artheau Aviation,France,Aerospace & Defence,181%,41.2%,4.0,5,2012,,,,,,,,,,,,,,2019
912,Bilingual British School,Italy,Education,181%,41.2%,1.8,34,2010,,,,,,,,,,,,,,2019
913,Consecution Group,Italy,Automobiles,181%,41.1%,3.9,19,2009,,,,,,,,,,,,,,2019
914,Reinbold Friseur,Germany,Retail,181%,41.1%,11.4,21,2004,,,,,,,,,,,,,,2019
915,Büromarkt Böttcher,Germany,Ecommerce,181%,41.0%,282.4,400,2001,,,,,,,,,,,,,,2019
916,Kinougarde,France,Education,180%,40.9%,25.2,723,2010,,,,,,,,,,,,,,2019
917,SmartCredit (SmartSearch),United Kingdom,Fintech,180%,40.9%,6.5,49,2005,,,,,,,,,,,,,,2019
918,ERT European Road Trucking,Germany,Transport,179%,40.8%,12.0,30,2011,,,,,,,,,,,,,,2019
919,Doble Mercado Financiero,Spain,Construction,179%,40.7%,3.4,50,1999,,,,,,,,,,,,,,2019
920,Harmonia Renewable Energy,Spain,Waste Management & Recycling,179%,40.7%,1.8,41,2012,,,,,,,,,,,,,,2019
921,Perusia Vitrum,Italy,Industrial Goods,178%,40.7%,1.7,8,2014,,,,,,,,,,,,,,2019
922,FaciliCon,Germany,Support Services,178%,40.7%,13.5,65,2011,,,,,,,,,,,,,,2019
923,Greyson Consulting,Slovakia,Management Consulting,178%,40.7%,10.0,161,2007,,,,,,,,,,,,,,2019
924,Upline,Italy,Support Services,178%,40.6%,2.2,10,2011,,,,,,,,,,,,,,2019
925,Strong Recruitment Group,United Kingdom,Support Services,178%,40.6%,6.5,19,2011,,,,,,,,,,,,,,2019
926,Nexteria,Italy,Support Services,178%,40.5%,8.0,213,2011,,,,,,,,,,,,,,2019
927,Edition Bougainville,France,Retail,177%,40.5%,3.6,15,2012,,,,,,,,,,,,,,2019
928,Kallehave Stål & Montage,Denmark,Construction,177%,40.5%,4.3,33,2013,,,,,,,,,,,,,,2019
929,Shine,Italy,Industrial Goods,177%,40.5%,1.7,3,2010,,,,,,,,,,,,,,2019
930,Venquis,United Kingdom,Support Services,177%,40.5%,27.7,49,2011,,,,,,,,,,,,,,2019
931,Risk Control,France,Construction,177%,40.4%,3.5,35,2011,,,,,,,,,,,,,,2019
932,DTS Maschinenbau,Germany,Industrial Goods,176%,40.3%,4.4,50,2011,,,,,,,,,,,,,,2019
933,Adyoulike,France,Advertising,176%,40.3%,20.7,90,2011,,,,,,,,,,,,,,2019
934,Sire Group Holding,Netherlands,Support Services,175%,40.2%,9.4,38,2012,,,,,,,,,,,,,,2019
935,Cesbron,France,Construction,175%,40.1%,1.8,14,2012,,,,,,,,,,,,,,2019
936,DOGU,Norway,Technology,175%,40.1%,2.0,17,2011,,,,,,,,,,,,,,2019
937,Scale Focus,Bulgaria,Technology,174%,40.0%,13.4,355,2012,,,,,,,,,,,,,,2019
938,FashCom,Netherlands,Ecommerce,174%,39.9%,4.2,20,2011,,,,,,,,,,,,,,2019
939,Materia Prima,Italy,Support Services,174%,39.9%,3.3,5,2012,,,,,,,,,,,,,,2019
940,Distrib Etik,France,Retail,174%,39.9%,1.7,7,2010,,,,,,,,,,,,,,2019
941,Webranking,Italy,Advertising,174%,39.9%,11.0,84,1998,,,,,,,,,,,,,,2019
942,Team Neusta,Germany,Support Services,174%,39.9%,163.2,1010,1993,,,,,,,,,,,,,,2019
943,Neon Diagnostics,United Kingdom,Health,174%,39.9%,5.2,11,2011,,,,,,,,,,,,,,2019
944,Retail Money Market,United Kingdom,Fintech,173%,39.8%,40.3,226,2010,,,,,,,,,,,,,,2019
945,Prodigioso Volcán,Spain,Advertising,173%,39.7%,3.6,44,2010,,,,,,,,,,,,,,2019
946,Xpose360,Germany,Advertising,173%,39.7%,2.6,35,2009,,,,,,,,,,,,,,2019
947,NCE S.r.l.,Italy,Support Services,173%,39.7%,4.1,35,2003,,,,,,,,,,,,,,2019
948,Groupe Quanteam,France,Financial Services,172%,39.6%,68.0,660,2007,,,,,,,,,,,,,,2019
949,akiwifi (Nostravant),Spain,Telecoms,172%,39.6%,2.3,48,2012,,,,,,,,,,,,,,2019
950,evobeam,Germany,Technology,172%,39.5%,4.3,15,2011,,,,,,,,,,,,,,2019
951,Grup Montaner,Spain,Support Services,172%,39.5%,58.7,71,2005,,,,,,,,,,,,,,2019
952,Solten Business International,Ireland,Support Services,171%,39.5%,3.2,28,2008,,,,,,,,,,,,,,2019
953,M2.,Germany,Support Services,171%,39.4%,3.1,16,2009,,,,,,,,,,,,,,2019
954,Dynaphos,Bulgaria,Retail,171%,39.3%,2.3,14,2007,,,,,,,,,,,,,,2019
955,HD Insurance,Cyprus,Insurance,170%,39.2%,9.4,52,2011,,,,,,,,,,,,,,2019
956,Adomos,France,Property,170%,39.2%,7.5,15,1999,,,,,,,,,,,,,,2019
957,Anstrich Riko-R,Germany,Construction,169%,39.1%,3.5,40,2008,,,,,,,,,,,,,,2019
958,Fresco Tours,Spain,Travel & Leisure,169%,39.1%,1.8,5,2008,,,,,,,,,,,,,,2019
959,Racing One,Germany,Automobiles,169%,39.1%,1.8,7,2011,,,,,,,,,,,,,,2019
960,Maylim,United Kingdom,Construction,169%,39.1%,46.3,31,2002,,,,,,,,,,,,,,2019
961,Xpand Solutions,Portugal,Technology,169%,39.0%,10.0,195,2003,,,,,,,,,,,,,,2019
962,Metalvenice,Italy,Automobiles,169%,39.0%,3.4,61,1999,,,,,,,,,,,,,,2019
963,A-Volute,France,Technology,168%,38.9%,3.0,31,2004,,,,,,,,,,,,,,2019
964,Olibar,Italy,Food & Beverage,168%,38.9%,19.4,44,2000,,,,,,,,,,,,,,2019
965,Tailoradio,Italy,Technology,168%,38.9%,1.8,14,2004,,,,,,,,,,,,,,2019
966,Experts People,France,Support Services,167%,38.7%,2.6,21,2012,,,,,,,,,,,,,,2019
967,Logistica Cannistrà,Italy,Transport,167%,38.7%,3.7,80,2012,,,,,,,,,,,,,,2019
968,Pensum MED,Germany,Support Services,167%,38.7%,8.0,n/a,2007,,,,,,,,,,,,,,2019
969,ProDigest,Belgium,Technology,166%,38.6%,3.6,28,2008,,,,,,,,,,,,,,2019
970,Temera,Italy,Technology,166%,38.6%,6.1,35,2009,,,,,,,,,,,,,,2019
971,Dovevivo,Italy,Property,166%,38.5%,15.3,62,2007,,,,,,,,,,,,,,2019
972,Fleetpool,Germany,Automobiles,166%,38.5%,45.0,60,2008,,,,,,,,,,,,,,2019
973,Readie Construction,United Kingdom,Construction,165%,38.5%,160.6,104,2007,,,,,,,,,,,,,,2019
974,Cooperative Mary Poppins,Italy,Education,165%,38.4%,2.3,33,2000,,,,,,,,,,,,,,2019
975,Krähling Bauunternehmung,Germany,Construction,165%,38.4%,2.7,31,2009,,,,,,,,,,,,,,2019
976,Grafos Steel,Italy,Industrial Goods,165%,38.4%,5.4,35,2009,,,,,,,,,,,,,,2019
977,Rudolf Wiegand und Partner,Germany,Retail,165%,38.3%,28.0,66,1992,,,,,,,,,,,,,,2019
978,blau direkt,Germany,Financial Services,165%,38.3%,36.5,92,2000,,,,,,,,,,,,,,2019
979,Eurofirms ETT,Spain,Support Services,165%,38.3%,351.6,584,1991,,,,,,,,,,,,,,2019
980,Landwärme,Germany,Energy,165%,38.3%,202.3,28,2007,,,,,,,,,,,,,,2019
981,Attensi,Norway,Technology,164%,38.3%,3.7,41,2009,,,,,,,,,,,,,,2019
982,Captivea,France,Technology,164%,38.2%,1.9,25,2007,,,,,,,,,,,,,,2019
983,Niese Caravan,Germany,Automobiles,164%,38.2%,7.1,9,2003,,,,,,,,,,,,,,2019
984,SIAN Wholesale,United Kingdom,Personal & Household Goods,164%,38.1%,30.2,26,2003,,,,,,,,,,,,,,2019
985,IVO Capital Partners,France,Financial Services,164%,38.1%,4.6,15,2012,,,,,,,,,,,,,,2019
986,Ca.Pri,Italy,Restaurants,164%,38.1%,10.1,91,1999,,,,,,,,,,,,,,2019
987,Prima Retail,Germany,Retail,163%,38.0%,4.5,30,2009,,,,,,,,,,,,,,2019
988,Bébé Boutik,France,Retail,163%,38.0%,11.0,36,2012,,,,,,,,,,,,,,2019
989,Inventry,United Kingdom,Technology,163%,38.0%,5.9,70,2010,,,,,,,,,,,,,,2019
990,Script and Go,France,Technology,163%,38.0%,1.6,22,2011,,,,,,,,,,,,,,2019
991,Münsterland Plus,Germany,Construction,162%,37.9%,2.1,34,2011,,,,,,,,,,,,,,2019
992,Eazy Case,Germany,Ecommerce,162%,37.9%,1.8,14,2012,,,,,,,,,,,,,,2019
993,Specialiste Bois Materiaux,France,Construction,162%,37.9%,4.3,6,2013,,,,,,,,,,,,,,2019
994,Europäische Schule RheinMain,Germany,Education,162%,37.9%,15.6,150,2011,,,,,,,,,,,,,,2019
995,Agence Verywell,France,Media,162%,37.9%,2.4,26,2007,,,,,,,,,,,,,,2019
996,Atlante,France,Management Consulting,162%,37.8%,2.2,12,2011,,,,,,,,,,,,,,2019
997,Everlight Radiology,United Kingdom,Health,162%,37.8%,21.4,108,2010,,,,,,,,,,,,,,2019
998,ACE Instruments,Germany,Retail,162%,37.8%,11.1,15,2004,,,,,,,,,,,,,,2019
999,Steinmüller,Germany,Fashion,162%,37.8%,3.3,19,2007,,,,,,,,,,,,,,2019
1000,Atheneum Partners,Germany,Support Services,161%,37.7%,10.7,180,2010,,,,,,,,,,,,,,2019
1,OakNorth Bank,United Kingdom,Fintech,"37,462.5%",621.5%,,,2015,67.91,0.22,200,,,,,,,,,,,2020
2,Wolt Enterprises,Finland,Technology,"15,641.9%",439.9%,,,2014,30.07,0.19,293,,,,,,,,,,,2020
3,Bolt Technology,Estonia,Technology,"12,959.7%",407.4%,,,2013,79.68,0.61,700,,,,,,,,,,,2020
4,Elements Global Services,Spain,Support Services,"10,233.3%",369.3%,,,2015,26.25,0.27,38,,,,,,,,,,,2020
5,Les   Eco-Isolateurs,France,Construction,"10,077.5%",366.9%,,,2013,32.98,0.32,67,,,,,,,,,,,2020
6,Gismart,United Kingdom,Games Industry,"8,788.3%",346.3%,,,2013,57.65,0.79,150,,,,,,,,,,,2020
7,Enens,France,Energy,"8,602.9%",343.2%,,,2015,100.98,1.16,2,,,,,,,,,,,2020
8,Qred Företagslån*,Sweden,Fintech,"7,300.9%",319.9%,,,2015,13.65,0.20,26,,,,,,,,,,,2020
9,Mamma 2.0,Italy,Ecommerce,"7,110.0%",316.2%,,,2014,7.21,0.10,19,,,,,,,,,,,2020
10,In Touch Networks,United Kingdom,Technology,"6,324.8%",300.5%,,,2013,8.40,0.16,114,,,,,,,,,,,2020
11,farmermobil,Germany,Industrial Goods,"6,055.8%",294.8%,,,2014,7.47,0.12,34,,,,,,,,,,,2020
12,Holidu,Germany,Technology,"6,030.5%",294.3%,,,2014,13.12,0.21,100,,,,,,,,,,,2020
13,Feiniko Handelsgesellschaft,Germany,Sales & Marketing,"5,853.5%",290.5%,,,2014,25.60,0.43,6,,,,,,,,,,,2020
14,Franco Fresco,Germany,Food & Beverage,"5,487.0%",282.3%,,,2014,15.42,0.28,180,,,,,,,,,,,2020
15,MessengerPeople,Germany,Technology,"5,378.2%",279.8%,,,2015,6.72,0.12,68,,,,,,,,,,,2020
16,Foot District,Spain,Ecommerce,"5,128.9%",273.9%,,,2012,5.37,0.10,18,,,,,,,,,,,2020
17,Deelit Ventures,Netherlands,Travel & Leisure,"5,115.5%",273.6%,,,2014,7.06,0.14,21,,,,,,,,,,,2020
18,ID Finance Investments,Spain,Fintech,"5,018.5%",271.3%,,,2015,41.00,0.85,399,,,,,,,,,,,2020
19,getAir,Germany,Industrial Goods,"4,705.5%",263.6%,,,2014,5.30,0.11,n/a,,,,,,,,,,,2020
20,PastBook,Netherlands,Ecommerce,"4,622.7%",261.5%,,,2012,9.16,0.19,15,,,,,,,,,,,2020
21,Supermercato24,Italy,Ecommerce,"4,566.7%",260.0%,,,2014,14.00,0.30,80,,,,,,,,,,,2020
22,Donatella,Germany,Food & Beverage,"4,494.6%",258.2%,,,2014,8.50,0.19,10,,,,,,,,,,,2020
23,Futureplay*,Finland,Games Industry,"4,409.6%",255.9%,,,2015,10.36,0.23,26,,,,,,,,,,,2020
24,Jobandtalent,Spain,Technology,"4,092.7%",247.4%,,,2008,137.60,3.28,302,,,,,,,,,,,2020
25,Jungle Creations,United Kingdom,Media,"3,900.0%",242.0%,,,2014,18.08,0.53,135,,,,,,,,,,,2020
26,#sinob,Germany,Retail,"3,614.1%",233.6%,,,2015,4.95,0.13,14,,,,,,,,,,,2020
27,Global-e Online,United Kingdom,Ecommerce,"3,566.6%",232.2%,,,2013,37.22,1.08,179,,,,,,,,,,,2020
28,Rinah,Italy,Retail,"3,424.6%",227.9%,,,2015,19.51,0.55,5,,,,,,,,,,,2020
29,Domator24.com,Poland,Personal & Household Goods,"3,419.1%",227.7%,,,2004,18.79,0.54,40,,,,,,,,,,,2020
30,UPLINK Network,Germany,Telecoms,"3,416.7%",227.6%,,,2013,20.53,0.58,29,,,,,,,,,,,2020
31,Trouva,United Kingdom,Technology,"3,353.1%",225.6%,,,2015,11.67,0.41,80,,,,,,,,,,,2020
32,STA PORTAGE (H2S),France,Support Services,"3,270.8%",223.0%,,,2012,18.40,0.55,237,,,,,,,,,,,2020
33,SoftwareHut,Poland,Technology,"3,090.2%",217.2%,,,2015,4.67,0.15,200,,,,,,,,,,,2020
34,Beattie Passive   Group,United Kingdom,Construction,"3,027.3%",215.1%,,,2014,7.17,0.28,21,,,,,,,,,,,2020
35,Fensterblick,Germany,Ecommerce,"2,925.8%",211.6%,,,2013,3.29,0.11,10,,,,,,,,,,,2020
36,Eskimoz,France,Media,"2,900.0%",210.7%,,,2012,9.00,0.30,90,,,,,,,,,,,2020
37,Indie Campers,Portugal,Travel & Leisure,"2,878.3%",210.0%,,,2013,9.09,0.31,93,,,,,,,,,,,2020
38,Zonneplan,Netherlands,Energy,"2,807.0%",207.5%,,,2012,54.42,1.87,85,,,,,,,,,,,2020
39,ITP Nord,Germany,Technology,"2,777.6%",206.4%,,,2014,4.47,0.16,42,,,,,,,,,,,2020
40,Agriconomie,France,Retail,"2,697.4%",203.6%,,,2014,27.00,0.97,76,,,,,,,,,,,2020
41,Bettzeit,Germany,Retail,"2,661.7%",202.3%,,,2013,80.59,2.92,175,,,,,,,,,,,2020
42,Blue Motor Finance,United Kingdom,Financial Services,"2,585.9%",199.5%,,,1992,97.51,4.42,185,,,,,,,,,,,2020
43,Vidsy Media,United Kingdom,Advertising,"2,527.7%",197.3%,,,2014,4.07,0.19,37,,,,,,,,,,,2020
44,Darktrace,United Kingdom,Cyber Security,"2,446.4%",194.2%,,,2013,67.11,3.06,650,,,,,,,,,,,2020
45,Sorted Group,United Kingdom,Technology,"2,300.0%",188.5%,,,2014,2.72,0.13,88,,,,,,,,,,,2020
46,FOSTEC & Company,Germany,Management Consulting,"2,250.0%",186.4%,,,2015,2.35,0.10,7,,,,,,,,,,,2020
47,Stillfront Group,Sweden,Games Industry,"2,222.4%",185.3%,,,2010,129.11,6.10,491,,,,,,,,,,,2020
48,Tappx,Spain,Advertising,"2,156.5%",182.6%,,,2013,17.26,0.77,31,,,,,,,,,,,2020
49,Payment   Assist,United Kingdom,Financial Services,"2,139.9%",181.9%,,,2013,2.79,0.15,17,,,,,,,,,,,2020
50,Workcapital,Spain,Financial Services,"2,125.5%",181.3%,,,2015,28.12,1.26,9,,,,,,,,,,,2020
51,Yoyo Wallet,United Kingdom,Fintech,"2,102.7%",180.3%,,,2013,3.97,0.22,68,,,,,,,,,,,2020
52,TMT   International,Italy,Industrial Goods,"2,095.7%",180.0%,,,2014,6.72,0.31,10,,,,,,,,,,,2020
53,SourceBreaker,United Kingdom,Technology,"2,021.0%",176.8%,,,2014,2.92,0.17,32,,,,,,,,,,,2020
54,Glassbox   Digital UK,United Kingdom,Technology,"2,020.0%",176.8%,,,2010,8.98,0.45,61,,,,,,,,,,,2020
55,LittleBIG   Connection,France,Technology,"1,989.8%",175.4%,,,2013,36.30,1.74,51,,,,,,,,,,,2020
56,Hostmaker,United Kingdom,Property,"1,962.2%",174.2%,,,2013,13.64,0.81,360,,,,,,,,,,,2020
57,Golden Bees,France,Technology,"1,957.6%",174.0%,,,2015,4.38,0.21,36,,,,,,,,,,,2020
58,Chez Nestor,France,Property,"1,951.2%",173.7%,,,2012,4.53,0.22,20,,,,,,,,,,,2020
59,Solnet Green Energy,Finland,Energy,"1,926.0%",172.6%,,,2014,3.73,0.18,11,,,,,,,,,,,2020
60,Osiway,France,Technology,"1,908.8%",171.8%,,,2014,4.68,0.23,4,,,,,,,,,,,2020
61,Nexumstp,Italy,Management Consulting,"1,898.4%",171.4%,,,2015,4.45,0.22,33,,,,,,,,,,,2020
62,MeP Trans,Estonia,Transport,"1,847.8%",169.1%,,,1990,18.00,0.92,140,,,,,,,,,,,2020
63,Bluwalk,Portugal,Transport,"1,810.6%",167.3%,,,2011,7.76,0.41,14,,,,,,,,,,,2020
64,Discover Car Hire,Latvia,Travel & Leisure,"1,780.4%",165.9%,,,2013,6.45,0.34,50,,,,,,,,,,,2020
65,Missoma,United Kingdom,Ecommerce,"1,780.2%",165.9%,,,2011,13.59,0.87,40,,,,,,,,,,,2020
66,Grapevine (The   Insiders),Netherlands,Advertising,"1,757.1%",164.8%,,,2012,6.50,0.35,135,,,,,,,,,,,2020
67,LVS Brokers,Finland,Fintech,"1,742.2%",164.1%,,,2012,8.92,0.48,12,,,,,,,,,,,2020
68,Dall Energy,Denmark,Energy,"1,740.9%",164.0%,,,2007,2.82,0.15,8,,,,,,,,,,,2020
69,Sneakers   & Jackets,France,Management Consulting,"1,716.3%",162.9%,,,2013,3.36,0.19,2,,,,,,,,,,,2020
70,Viralize,Italy,Advertising,"1,709.5%",162.5%,,,2013,14.23,0.79,34,,,,,,,,,,,2020
71,Ruehe   Healthcare,Germany,Health,"1,691.9%",161.7%,,,2013,3.10,0.17,13,,,,,,,,,,,2020
72,Laundryheap,United Kingdom,Support Services,"1,662.6%",160.2%,,,2014,2.87,0.19,28,,,,,,,,,,,2020
73,COMATCH,Germany,Management Consulting,"1,637.5%",159.0%,,,2015,27.80,1.60,137,,,,,,,,,,,2020
74,NoviCap,United Kingdom,Financial Services,"1,635.3%",158.9%,,,2014,1.75,0.10,32,,,,,,,,,,,2020
75,Elvie,United Kingdom,Health,"1,623.3%",158.3%,,,2013,3.80,0.27,37,,,,,,,,,,,2020
76,GPA Innova    (Dlyte),Spain,Industrial Goods,"1,611.1%",157.7%,,,2013,4.24,0.25,22,,,,,,,,,,,2020
77,Lumenaza,Germany,Energy,"1,603.9%",157.3%,,,2013,6.10,0.36,31,,,,,,,,,,,2020
78,Skills RH,France,Support Services,"1,557.3%",155.0%,,,2011,9.08,0.55,129,,,,,,,,,,,2020
79,ENPIRE,Poland,Transport,"1,529.7%",153.5%,,,2011,25.54,1.60,192,,,,,,,,,,,2020
80,PALS E HIJOS IMPORT,Spain,Retail,"1,512.8%",152.7%,,,2009,4.82,0.30,70,,,,,,,,,,,2020
81,Mrs Wordsmith,United Kingdom,Education,"1,500.9%",152.0%,,,2015,1.99,0.15,40,,,,,,,,,,,2020
82,Nexolub,Spain,Energy,"1,485.8%",151.2%,,,2008,77.76,4.90,7,,,,,,,,,,,2020
83,INNOVI Recherche,France,Pharmaceuticals,"1,474.6%",150.6%,,,2011,1.89,0.12,3,,,,,,,,,,,2020
84,Parkster,Sweden,Technology,"1,463.1%",150.0%,,,2011,32.15,2.26,22,,,,,,,,,,,2020
85,Bending   Spoons,Italy,Technology,"1,449.8%",149.3%,,,2015,31.98,2.06,70,,,,,,,,,,,2020
86,ComplyAdvantage,United Kingdom,Fintech,"1,448.8%",149.3%,,,2014,6.78,0.53,159,,,,,,,,,,,2020
87,MAKING   SCIENCE,Spain,Advertising,"1,429.7%",148.2%,,,2001,18.80,1.23,185,,,,,,,,,,,2020
88,Società   Gestioni Lavori,Italy,Energy,"1,429.5%",148.2%,,,2015,4.19,0.27,22,,,,,,,,,,,2020
89,Ooni,United Kingdom,Personal & Household Goods,"1,427.7%",148.1%,,,2012,11.29,0.90,34,,,,,,,,,,,2020
90,Ubiquicom,Italy,Technology,"1,409.7%",147.2%,,,2004,2.94,0.19,16,,,,,,,,,,,2020
91,Flight Club Darts,United Kingdom,Restaurants,"1,407.7%",147.0%,,,2013,11.25,0.91,194,,,,,,,,,,,2020
92,Narajan,Slovenia,Food & Beverage,"1,407.6%",147.0%,,,2014,2.85,0.19,7,,,,,,,,,,,2020
93,Studapart,France,Property,"1,373.2%",145.1%,,,2013,1.65,0.11,25,,,,,,,,,,,2020
94,Tylia Invest,France,Fintech,"1,359.4%",144.4%,,,2012,1.51,0.10,11,,,,,,,,,,,2020
95,Enesco,Italy,Energy,"1,358.9%",144.3%,,,2013,5.40,0.37,6,,,,,,,,,,,2020
96,ConceptIF Pro,Germany,Insurance,"1,356.6%",144.2%,,,2011,7.07,0.49,20,,,,,,,,,,,2020
97,Carcamovil,Spain,Retail,"1,353.6%",144.1%,,,2013,29.73,2.05,682,,,,,,,,,,,2020
98,Tingopol,Estonia,Technology,"1,349.8%",143.8%,,,2007,2.48,0.17,5,,,,,,,,,,,2020
99,Samy Road,Spain,Advertising,"1,347.2%",143.7%,,,2012,6.58,0.45,35,,,,,,,,,,,2020
100,Grupo Grl (Élite   Diseños),Spain,Construction,"1,316.5%",142.0%,,,2012,8.40,0.59,31,,,,,,,,,,,2020
101,GAP Vehicle Hire,United Kingdom,Support Services,"1,313.5%",141.8%,,,2014,23.62,1.98,57,,,,,,,,,,,2020
102,OTA Insight,United Kingdom,Technology,"1,312.2%",141.7%,,,2012,11.63,1.00,105,,,,,,,,,,,2020
103,priomold,Germany,Industrial Goods,"1,277.0%",139.7%,,,2015,3.10,0.23,22,,,,,,,,,,,2020
104,Nurole,United Kingdom,Technology,"1,275.7%",139.6%,,,2014,1.91,0.17,18,,,,,,,,,,,2020
105,Cru   Wine,United Kingdom,Food & Beverage,"1,271.4%",139.4%,,,2013,3.45,0.30,5,,,,,,,,,,,2020
106,InnovaMaxx,Germany,Sales & Marketing,"1,244.8%",137.8%,,,2012,37.51,2.79,142,,,,,,,,,,,2020
107,Signaturit Solutions,Spain,Technology,"1,226.8%",136.7%,,,2013,1.77,0.13,69,,,,,,,,,,,2020
108,P   & W Bau,Germany,Construction,"1,226.0%",136.7%,,,2009,2.01,0.15,6,,,,,,,,,,,2020
109,Total Tiles,United Kingdom,Ecommerce,"1,211.5%",135.8%,,,2006,6.03,0.56,23,,,,,,,,,,,2020
110,Epaper*,Italy,Industrial Goods,"1,211.3%",135.8%,,,2015,8.26,0.63,12,,,,,,,,,,,2020
111,Kiwi.com,Czech Republic,Travel & Leisure,"1,188.6%",134.4%,,,2012,"1,079.10",78.75,2800,,,,,,,,,,,2020
112,Oradian,Croatia,Fintech,"1,166.9%",133.1%,,,2012,2.20,0.17,125,,,,,,,,,,,2020
113,Egarri,France,Food & Beverage,"1,166.7%",133.1%,,,2011,9.50,0.75,10,,,,,,,,,,,2020
114,GOVECS,Germany,Automobiles,"1,157.2%",132.5%,,,2009,31.48,2.50,331,,,,,,,,,,,2020
115,Stayincortina,Italy,Travel & Leisure,"1,155.2%",132.4%,,,2014,6.39,0.51,99,,,,,,,,,,,2020
116,DMS,Germany,Media,"1,135.3%",131.2%,,,2013,21.00,1.70,27,,,,,,,,,,,2020
117,We Can Do HR,Poland,Support Services,"1,131.8%",130.9%,,,2015,6.92,0.57,250,,,,,,,,,,,2020
118,Univers Auto,France,Automobiles,"1,129.5%",130.8%,,,2012,11.65,0.95,4,,,,,,,,,,,2020
119,Crossflow   Payments,United Kingdom,Fintech,"1,126.7%",130.6%,,,2013,2.89,0.29,8,,,,,,,,,,,2020
120,Quantion,Spain,Technology,"1,117.2%",130.0%,,,2014,2.82,0.23,66,,,,,,,,,,,2020
121,Democom,Italy,Management Consulting,"1,110.1%",129.6%,,,2011,1.88,0.16,23,,,,,,,,,,,2020
122,RTB House,Poland,Technology,"1,107.8%",129.4%,,,2013,99.59,8.40,377,,,,,,,,,,,2020
123,FirstPhone,Hungary,Retail,"1,101.8%",129.1%,,,2013,18.93,1.62,53,,,,,,,,,,,2020
124,YouLoveWords,France,Media,"1,096.5%",128.7%,,,2014,2.74,0.23,17,,,,,,,,,,,2020
125,Landbay Partners,United Kingdom,Fintech,"1,088.6%",128.2%,,,2013,4.90,0.50,57,,,,,,,,,,,2020
126,Verocaffè Italia,Italy,Retail,"1,087.7%",128.2%,,,1993,14.61,1.23,144,,,,,,,,,,,2020
127,Soorce,Germany,Support Services,"1,084.8%",128.0%,,,2004,5.45,0.46,19,,,,,,,,,,,2020
128,ISO Spaces South West,United Kingdom,Construction,"1,084.2%",127.9%,,,2011,5.72,0.58,30,,,,,,,,,,,2020
129,Voxpopme,United Kingdom,Technology,"1,080.4%",127.7%,,,2013,3.83,0.39,55,,,,,,,,,,,2020
130,Vadeca Facility Services,Portugal,Support Services,"1,073.9%",127.3%,,,2008,11.16,0.95,1058,,,,,,,,,,,2020
